Token,DepVar,Style,GramStatus,Following.Seg,Sex,Age,Ethnicity
laughing,In,careful,participle,apical,f,6,Italian
talking,In,careful,participle,0,f,6,Italian
having,In,careful,participle,vowel,f,6,Italian
getting,In,careful,participle,apical,f,6,Italian
getting,In,response,participle,vowel,f,6,Italian
thinking,Ing,careful,participle,vowel,f,6,Italian
something,In,careful,thing,vowel,f,6,Italian
amazing,Ing,response,adjective,vowel,f,6,Italian
something,In,response,thing,apical,f,6,Italian
getting,In,careful,participle,vowel,f,6,Italian
running,In,response,participle,vowel,f,6,Italian
getting,In,response,participle,vowel,f,6,Italian
going,In,careful,progressive,apical,f,6,Italian
going,In,careful,progressive,apical,f,6,Italian
nothing,In,response,thing,apical,f,6,Italian
Thanksgiving,Ing,response,noun,velar,f,6,Italian
living,Ing,response,gerund,palatal,f,6,Italian
dining,Ing,response,gerund,palatal,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
growing,In,response,participle,vowel,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
something,In,careful,thing,apical,f,6,Italian
something,In,careful,thing,apical,f,6,Italian
nothing,In,response,thing,labial,f,6,Italian
saying,In,careful,progressive,0,f,6,Italian
something,In,careful,thing,0,f,6,Italian
trying,In,careful,participle,apical,f,6,Italian
wedding,Ing,careful,noun,labial,f,6,Italian
trying,In,careful,participle,apical,f,6,Italian
looking,In,response,participle,vowel,f,6,Italian
boozing,In,careful,participle,vowel,f,6,Italian
dancing,In,careful,progressive,labial,f,6,Italian
facing,In,careful,progressive,apical,f,6,Italian
looking,In,careful,participle,vowel,f,6,Italian
being,Ing,careful,participle,vowel,f,6,Italian
kidding,In,response,participle,vowel,f,6,Italian
