Word	Coda	Base	Morph	Boundary	freq
MAIL	closed	closed	NULL	x	18
MAILBOX	closed	closed	NULL	x	1
MAILMAN	closed	closed	NULL	x	4
MAILROOM	closed	closed	NULL	x	2
MAIN	closed	closed	NULL	x	62
MAINARD'S	open	open	NULL	x	1
MAINE	closed	closed	NULL	x	4
MAINE'S	closed	closed	NULL	x	2
MAINLY	closed	closed	NULL	x	33
MAINS	closed	closed	NULL	x	1
MAINTAIN	closed	closed	NULL	x	5
MAINTAINED	closed	closed	NULL	x	3
MAINTAINING	open	closed	inflect	x	2
MAINTENANCE	closed	closed	NULL	x	10
MAJOR	open	open	NULL	x	40
MAJORED	open	open	NULL	x	2
MAJORIN'	open	open	NULL	x	1
MAJORING	open	open	NULL	x	1
MAJORS	open	open	NULL	x	3
MAKE	closed	closed	NULL	x	640
MAKER	open	closed	deriv	x	11
MAKERS	open	closed	deriv	x	1
MAKES	closed	closed	NULL	x	99
MAKEUP	open	closed	compound	x	13
MAKIN'	open	closed	inflect	x	63
MAKING	open	closed	inflect	x	65
MALAYAN	hiatus	free	deriv	b	1
MALE	closed	closed	NULL	x	11
MALES	closed	closed	NULL	x	2
MALFORMATIONS	open	closed	deriv	x	1
MANE	closed	closed	NULL	x	1
MANIAC	open	open	NULL	x	1
MAPLE	open	open	NULL	x	3
MARGATE	closed	closed	NULL	x	1
MASON	open	open	NULL	x	7
MASONS	open	open	NULL	x	3
MATE	closed	closed	NULL	x	6
MATES	closed	closed	NULL	x	2
MATINEE	final	free	NULL	b	1
MATRIARCH	open	open	NULL	x	1
MATRON	open	open	NULL	x	1
MATRONLY	open	open	NULL	x	1
MAY	final	free	NULL	b	130
MAYBE	open	free	compound	b	622
MAYFAIR	open	open	NULL	x	2
MAYFLOWER	open	free	compound	b	1
MAYHEM	open	open	NULL	x	1
MAYOR	hiatus	hiatus	NULL	x	17
MCBAY	final	free	NULL	b	2
MCVEIGH	final	free	NULL	b	1
MEDIATOR	open	closed	deriv	x	1
MEDICATION	open	closed	deriv	x	8
MEDICATIONS	open	closed	deriv	x	1
MEDITATE	closed	closed	NULL	x	1
MEDITATED	open	closed	deriv	x	1
MEDITERRANEAN	open	open	NULL	x	6
MEGAN	open	open	NULL	x	7
MEGAN'S	open	open	NULL	x	2
MENSTRUATING	open	closed	inflect	x	1
MENSTRUATION	open	closed	deriv	x	2
MERMAID	closed	closed	NULL	x	4
MIGRAINE	closed	closed	NULL	x	1
MIGRAINES	closed	closed	NULL	x	2
MIGRATE	closed	closed	NULL	x	1
MIGRATED	open	closed	inflect	x	5
MIGRATION	open	closed	deriv	x	1
MILKSHAKES	closed	closed	NULL	x	1
MISPLACED	closed	closed	NULL	x	2
MISTAKE	closed	closed	NULL	x	21
MISTAKEN	open	closed	deriv	x	2
MISTAKES	closed	closed	NULL	x	6
MODERATE	closed	closed	NULL	x	1
MODERATION	open	closed	deriv	x	2
MODERATOR	open	closed	deriv	x	1
MODERATORS	open	closed	deriv	x	1
MONDAY	final	free	NULL	b	10
MONDAYS	closed	free	inflect	b	1
MOSAIC	hiatus	hiatus	NULL	x	1
MOSAICS	hiatus	hiatus	NULL	x	1
MOTIVATION	open	closed	deriv	x	3
NAIL	closed	closed	NULL	x	8
NAILS	closed	closed	NULL	x	5
NAKED	open	open	NULL	x	2
NAME	closed	closed	NULL	x	398
NAME'S	closed	closed	NULL	x	23
NAMED	closed	closed	NULL	x	35
NAMES	closed	closed	NULL	x	58
NAMESAKES	closed	closed	NULL	x	2
NAPLES	open	open	NULL	x	15
NASAL	open	open	NULL	x	1
NATAL	open	open	NULL	x	1
NATION	open	open	NULL	x	1
NATIONS	open	open	NULL	x	4
NATIVE	open	open	NULL	x	2
NATIVES	open	open	NULL	x	1
NATURE	open	open	NULL	x	12
NATURED	open	open	NULL	x	1
NAUSEATE	closed	closed	NULL	x	1
NAUSEATING	open	closed	inflect	x	1
NAVAL	open	open	NULL	x	12
NAVIGATING	open	closed	inflect	x	1
NAVY	open	open	NULL	x	52
NE	final	free	NULL	b	2
NEGOTIATION	open	closed	deriv	x	1
NEIGHBOR	open	open	NULL	x	67
NEIGHBOR'S	open	open	NULL	x	11
NEIGHBOR-	open	open	NULL	x	3
NEIGHBORHO-	open	open	NULL	x	1
NEIGHBORHOOD	open	open	NULL	x	688
NEIGHBORHOOD'S	open	open	NULL	x	12
NEIGHBORHOODS	open	open	NULL	x	51
NEIGHBORLY	open	open	NULL	x	1
NEIGHBORS	open	open	NULL	x	180
NEIGHBORS'	open	open	NULL	x	2
NEWSPAPER	open	open	NULL	x	31
NEWSPAPERS	open	open	NULL	x	7
NICKNAME	closed	closed	NULL	x	8
